"""","一般機械器具製造業_事業所数","一般機械器具製造業_従業者数(人)","一般機械器具製造業_現金給与総額(百万円)","一般機械器具製造業_原材料使用額等(百万円)","一般機械器具製造業_製造品出荷額等(百万円)","一般機械器具製造業_付加価値額(百万円)","精密機械器具製造業_事業所数","精密機械器具製造業_従業者数(人)","精密機械器具製造業_現金給与総額(百万円)","精密機械器具製造業_原材料使用額等(百万円)","精密機械器具製造業_製造品出荷額等(百万円)","精密機械器具製造業_付加価値額(百万円)"
"平成16年(2004年)","183.0","6266.0","30315.0","94396.0","240284.0","137298.0","15.0","2176.0","9646.0","33143.0","67961.0","30701.0"
"平成17年(2005年)","175.0","6496.0","31877.0","99135.0","248481.0","143558.0","13.0","1977.0","9057.0","26517.0","53418.0","22720.0"
"","","","","","","","","","","","",""
"平成18年(2006年)","173.0","6601.0","31768.0","103596.0","268762.0","158108.0","12.0","1822.0","8451.0","20454.0","41378.0","15524.0"
"平成19年(2007年)","172.0","6970.0","34126.0","122396.0","329485.0","194261.0","10.0","1678.0","7950.0","24809.0","43205.0","15789.0"
"平成20年(2008年)","…","…","…","…","…","…","…","…","…","…","…","…"
"平成21年(2009年)","…","…","…","…","…","…","…","…","…","…","…","…"
"平成22年(2010年)","…","…","…","…","…","…","…","…","…","…","…","…"
"","","","","","","","","","","","",""
"平成23年(2011年)","…","…","…","…","…","…","…","…","…","…","…","…"
"平成24年(2012年)","…","…","…","…","…","…","…","…","…","…","…","…"
"平成25年(2013年)","…","…","…","…","…","…","…","…","…","…","…","…"
